Map,Winner,Winner race,Loser,Loser race
Concealed Hill,LawLiet,n,Ice orc,o
Concealed Hill,ToD,h,Please,n
Talonrift Coast,Sonik,n,MisterWinner,h
Autumn Leaves,Destroyer (Iranian player),u,PhoeNix,n
Turtle Rock,XeLSinG,o,Krawty,n
Last Refuge,Pride,o,SaysO,o
Last Refuge,Sonik,n,JadeDark,n
Concealed Hill,ChriS,u,Shocky,u
Last Refuge,Ajk,n,MisterWinner,h
Echo Isles,LongWalk,n,Vranke,u
Last Refuge,Aeb,u,Sorah,o
Amazonia,Biko,u,Ag3nt,h
Concealed Hill,,,,
Talonrift Coast,Happy,u,Sheik,u
Amazonia,Rav3n,u,Hunt,h
Amazonia,MisterWinner,h,Scription,h
Echo Isles,Eer0,u,Sok,h
Northern Isles,Edo,u,Tomik,o
Amazonia,Michael,u,JohnnyCage,h
Concealed Hill,LawLiet,n,Fortitude,h
Last Refuge,Seal,o,DesTr0,h
Northern Isles,SeTh,n,CorNoX,n
Concealed Hill,Moon,n,Lin Guagua,o
Echo Isles,Hankk,o,Hunt,h
Northern Isles,Happy,u,Hipposaur,h
Terenas Stand LV,CorNoX,n,Daille,h
Amazonia,Lin Guagua,o,Leezeay,o
Concealed Hill,Michael,u,Ice orc,o
Northern Isles,Paxa,u,Koerp,o
Terenas Stand LV,Lyn,o,Moon,n
Concealed Hill,EnTe,u,Dise,n
Echo Isles,Philiwarrior,o,SpoKi,h
Echo Isles,Sheik,u,KroLu,o
Echo Isles,Michael,u,Fortitude,h
Terenas Stand LV,Colorful,n,LawLiet,n
Northern Isles,Hailua,h,Walter,n
Amazonia,HawK,h,TGW,u
Terenas Stand LV,JarAsH,o,Totoro,n
Concealed Hill,ReaVeR,h,Simba,h
Last Refuge,FaiLo,o,ArminvB,o
Last Refuge,Eer0,u,Pcg 123,u
Amazonia,Ceron,n,Aeb,u
Turtle Rock,Fast,o,Fortitude,h
Concealed Hill,ToD,h,RaGsen,o
Northern Isles,SyDe,u,ThorZaIN,h
Autumn Leaves,Changer,h,Helbisch,u
Northern Isles,Ag3nt,h,EdGE,u
Northern Isles,KraV,u,ThundeR,h
Amazonia,EnTe,u,Rigety,o
Northern Isles,ReaveR,h,D4rK,h
Echo Isles,FoCuS,o,Eer0,u
Northern Isles,Dise,n,Please,n
Last Refuge,Sheik,u,Sonik,n
Echo Isles,KraV,u,Foggy,n
Echo Isles,Michael,u,15sui,n
Last Refuge,Happy,u,HoT,n
Northern Isles,ToX,u,Nase,h
Terenas Stand LV,Chaemiko,h,Colorful,n
Concealed Hill,Blade,h,SyDe,u
Terenas Stand LV,CoopeR,o,Michael,u
Last Refuge,Happy,u,Biko,u
Northern Isles,Soin,o,Chaemiko,h
Amazonia,Deathnote,h,X3-DemoN,h
Concealed Hill,Imud,u,X3-DemoN,h
Last Refuge,Soin,o,Chaemiko,h
Northern Isles,Yumiko,u,Bug,o
Concealed Hill,Colorful,n,Lyn,o
Talonrift Coast,Neytpoh,n,TGW,u
Northern Isles,Mythos,u,Ice (Brazilian player),u
Last Refuge,Neytpoh,n,Cement,u
Concealed Hill,ToM,o,PhoeNix,n
Concealed Hill,Happy,u,Aeb,u
Last Refuge,Drunken,h,LongWalk,n
