Map,Winner,Winner race,Loser,Loser race
Last Refuge,Sonik,n,Starshaped,n
Echo Isles,Philiwarrior,o,Hankk,o
Amazonia,Rav3n,u,Kingsta,u
Twisted Meadows,Seal,o,ZeLL,h
Concealed Hill,Fast,o,Mango,u
Last Refuge,Flopoks,u,ToM,o
Northern Isles,Fortitude,h,TH000,n
Last Refuge,XlorD,u,WaN,u
Northern Isles,SDmK,u,Cement,u
Last Refuge,KnOfF,o,Skutt,u
Last Refuge,Rackanitsu,h,JarAsH,o
Terenas Stand LV,Gonz,n,Ag3nt,h
Concealed Hill,Fortitude,h,WFZ,u
Concealed Hill,Changer,h,Helbisch,u
Northern Isles,Helbisch,u,Sunny,h
Concealed Hill,Quberte,u,Rheagal,u
Amazonia,MisterWinner,h,Temskiy,o
Terenas Stand LV,Sooo Unreal,h,Alexchen,n
Concealed Hill,Fish,h,Aeb,u
Echo Isles,Sonik,n,SpiritLink,h
Concealed Hill,Fortitude,h,Michael,u
Northern Isles,Dise,n,Lilyal,u
Echo Isles,Franzyzz,o,Philiwarrior,o
Echo Isles,Sheik,u,AtheistP,h
Last Refuge,Sonik,n,Dise,n
Echo Isles,Fortitude,h,FoCuS,o
Last Refuge,Starshaped,n,Sonik,n
Amazonia,Ag3nt,h,Gonz,n
Last Refuge,Please,n,Sheik,u
Turtle Rock,Yumiko,u,Bug,o
Concealed Hill,Eer0,u,Chaemiko,h
Last Refuge,Hipposaur,h,FaiLo,o
Concealed Hill,Ice orc,o,Zhou Xixi,n
Echo Isles,Sonik,n,Edo,u
Echo Isles,Moon,n,Ice orc,o
Concealed Hill,Gonz,n,AtheistP,h
Last Refuge,Neytpoh,n,Please,n
Concealed Hill,SeTh,n,Ze1Ko,h
Last Refuge,KiWiKaKi,o,INSUPERABLE,u
Last Refuge,Sonik,n,Dise,n
Last Refuge,Rav3n,u,TagaBearClaw,n
Turtle Rock,Fly100%,o,Sok,h
Last Refuge,Helbisch,u,Papandos,o
Concealed Hill,Drunken,h,N4p0muk,o
Terenas Stand LV,CoopeR,o,Sok,h
Last Refuge,LawLiet,n,Deathnote,h
Northern Isles,Sorah,o,Lnclnerator,o
Amazonia,Michael,u,Yumiko,h
Concealed Hill,Ser,u,Gonz,n
Northern Isles,Edo,u,Hankk,o
Terenas Stand LV,ToD,h,Sheik,u
Echo Isles,XlorD,u,ToM,o
Northern Isles,Duck,u,HellRaiseR,u
Northern Isles,SyDe,u,Sonik,n
Concealed Hill,Cement,u,Eye-Servant,r
Echo Isles,Manusiku,u,DrK,u
Terenas Stand LV,TGW,u,Sixb0nes,h
Last Refuge,Alice,n,15sui,h
Concealed Hill,Starshaped,n,Fhra,o
Northern Isles,Deathnote,h,Neytpoh,n
Echo Isles,Sok,h,Fortitude,h
Concealed Hill,Lin Guagua,o,Bido,h
Turtle Rock,Lyn,o,Michael,u
Echo Isles,WFZ,u,Blade,h
Northern Isles,MisterWinner,h,Rav3n,u
Concealed Hill,CoopeR,o,JohnnyCage,h
Twisted Meadows,Neytpoh,n,CoopeR,o
Northern Isles,Mythos,u,Meecro,n
Amazonia,Spiral,n,MisterWinner,h
Northern Isles,XeLSinG,o,Dise,n
Concealed Hill,Chaemiko,h,Ice orc,o
Concealed Hill,Foggy,n,Sheik,u
Echo Isles,Eer0,u,Fortitude,h
Northern Isles,MisterWinner,h,W1gan,n
Last Refuge,Edo,u,KnOfF,o
Northern Isles,ThundeR,h,MisterWinner,h
Twisted Meadows,Steler,o,LuTr,o
Concealed Hill,Philiwarrior,o,Kevin,n
Concealed Hill,Cash,o,HawK,h
Twisted Meadows,Lnclnerator,o,RavinDrannor,o
Terenas Stand LV,MoonAndino,n,Patitofeo,u
Northern Isles,Alexchen,n,Minigun,n
Amazonia,Mosura,u,Ag3nt,h
Northern Isles,INSUPERABLE,o,Hankk,o
Terenas Stand LV,Hitman,o,Deuce,u
Echo Isles,ThundeR,h,Fortitude,h
Amazonia,Foggy,n,Wiz,n
Concealed Hill,Neytpoh,n,Sheik,u
Terenas Stand LV,Cement,u,Eye-Servant,r
Last Refuge,TeRRoR,u,GodFather,u
Concealed Hill,Happy,u,HawK,h
Last Refuge,Sonik,n,Lilyal,u
Northern Isles,Soin,o,Colorful,n
Last Refuge,Hunter,n,Deuce,u
Concealed Hill,Foggy,n,SyDe,u
Amazonia,Schlautier,o,MrKenshin,o
Last Refuge,Happy,u,Ghooozi,n
Last Snow,Cash,o,MisterWinner,h
Amazonia,Deathnote,h,Neytpoh,n
Northern Isles,DeMiGoD,o,PhoeNix,n
Amazonia,Takulla,u,MoonAndino,n
Amazonia,Kevin,n,EnTe,u
Concealed Hill,Robinson,n,ArminvB,o
Last Refuge,Sonik,n,Lubber,u
Concealed Hill,Foggy,n,Michael,u
Concealed Hill,Hitman,o,Michael,u
Terenas Stand LV,Ceron,n,Aeb,u
Turtle Rock,TH000,h,LawLiet,n
Concealed Hill,Soin,o,Yange,n
Last Refuge,LeMei,n,RaZZoRMaN,o
Northern Isles,Biko,u,Music,o
Echo Isles,JohnnyCage,h,KraV,u
Northern Isles,KraV,h,Seal,o
Amazonia,Sheik,u,Happy,u
Echo Isles,Happy,u,Foggy,n
Last Refuge,HoT,n,Sonik,n
Northern Isles,Inspired,h,YoungUndead,u
Amazonia,INSUPERABLE,u,Deuce,u
Last Refuge,Foggy,n,LawLiet,n
Turtle Rock,LawLiet,n,Foggy,n
Amazonia,TH000,n,Fortitude,h
Amazonia,Please,n,Deathnote,h
Amazonia,HawK,h,Hipposaur,h
Last Refuge,FpXy,n,JohnnyCage,h
Concealed Hill,Deuce,u,Ark,n
Concealed Hill,Pcg 123,u,Sok,h
Concealed Hill,Ark,n,Duck,u
Northern Isles,Happy,u,Sonik,n
Northern Isles,Ze1Ko,h,Daille,h
Echo Isles,Pcg 123,u,榴花不见簪秋雪,TBD
Amazonia,WatchMeCarry,n,DeMiGoD,o
Amazonia,Sonik,n,Inspired,h
Concealed Hill,Eer0,u,15sui,h
Northern Isles,Hipposaur,h,NoBigThing,u
Last Refuge,Happy,u,YoungUndead,u
Terenas Stand LV,Spiral,h,Sonik,n
Last Refuge,Drunken,h,Kevin,n
Tidehunters,Sheik,u,Cash,o
Amazonia,Mix.6,n,NickMoris,n
Northern Isles,TeaTime,n,LICHTKOENIG,u
Amazonia,X3-DemoN,h,Temskiy,o
Last Refuge,Evocore,n,Manusiku,u
Northern Isles,Lyn,o,Sok,h
Amazonia,Sheik,u,Infinity,h
Amazonia,MisterWinner,h,Bardigan,u
Northern Isles,TeRRoR,u,Sheik,u
Echo Isles,Please,n,Sonik,n
Concealed Hill,Lin Guagua,o,Michael,u
Amazonia,Sonik,n,Hankk,o
Terenas Stand LV,Sonik,n,ThorZaIN,h
Amazonia,Chaemiko,h,XiaoKai,u
Concealed Hill,P1nke,o,Aeb,u
Northern Isles,Chaemiko,h,ThundeR,h
Last Refuge,Spiral,o,ToM,o
Last Refuge,Ze1Ko,h,Rici,o
Last Refuge,Foggy,n,Dise,n
Concealed Hill,Foggy,n,JohnnyCage,h
Northern Isles,SyDe,u,CaSpeND,u
Concealed Hill,JohnnyCage,h,ThorZaIN,h
Last Refuge,SpoKi,h,Philiwarrior,o
Northern Isles,Michael,u,Sheik,u
Northern Isles,XiaoKai,u,Fly100%,o
Northern Isles,XlorD,u,EnTe,u
Concealed Hill,ThundeR,h,Tbc bm,u
Northern Isles,WaN,u,LongWalk,n
Concealed Hill,Eer0,u,Fortitude,h
Echo Isles,Cement,u,Edo,u
Last Refuge,Bido,h,Alice,n
Amazonia,Dise,n,Sonik,n
Last Refuge,Sonik,n,Oxx,o
Last Refuge,Foggy,n,VortiX,u
Twisted Meadows,HellRaiseR,u,Ceron,n
Amazonia,LeX,u,Tak3r,o
Amazonia,INSUPERABLE,u,Hunter,n
Last Refuge,Ceron,n,Mythos,u
Terenas Stand LV,EnTe,u,MisterWinner,h
Turtle Rock,Ice orc,o,9deathless,h
Twisted Meadows,VortiX,u,CoopeR,o
Northern Isles,15sui,h,Alice,n
Last Refuge,OrcWorker,o,FaiLo,o
Amazonia,Eer0,u,Chaemiko,h
Concealed Hill,Sorah,o,GodFather,u
Concealed Hill,BlaST9Z,n,Duke17,u
Last Refuge,KraV,u,Ze1Ko,h
Last Refuge,KiWiKaKi,o,KraV,u
Concealed Hill,FoCuS,o,WFZ,u
Terenas Stand LV,KroLu,o,Evanescence,n
Autumn Leaves,CrunCher,h,Duck,u
Northern Isles,Scars,o,ToM,o
Autumn Leaves,Happy,u,XlorD,u
Northern Isles,WTii,u,Sarazil,u
Zul'Alor,Dise,n,Starshaped,n
Terenas Stand LV,Ark,n,Deuce,u
Turtle Rock,15sui,h,Sini,n
Terenas Stand,Ice orc,o,凶残暴兵野,n
Turtle Rock,Colorful,n,Infi,h
Amazonia,LiiLD.C,n,KnOfF,o
Northern Isles,Foggy,n,ArminvB,o
Amazonia,Neytpoh,n,Dise,n
Northern Isles,Sonik,n,MisterWinner,h
Concealed Hill,KiWiKaKi,o,Hunter,n
Echo Isles,PiWi,n,Manusiku,u
Last Refuge,Happy,u,Michael,u
Last Refuge,Dise,n,EnTe,u
Twisted Meadows,LuTr,o,Loiu,o
Concealed Hill,Pokey,n,ReseT,n
Northern Isles,Fish,h,Scower,o
Northern Isles,ToD,h,Spiral,n
Concealed Hill,Moon,n,Yange,n
Echo Isles,MisterWinner,h,ToM,o
Concealed Hill,ToM,o,Sw1tch,o
Echo Isles,Freshwind,u,Lilyal,u
Northern Isles,TeRRoR,u,PteN,o
Last Refuge,FoCuS,o,Fly100%,o
Terenas Stand LV,FoCuS,o,Michael,u
Echo Isles,TeRRoR,u,Music,o
Northern Isles,ArminvB,o,Ag3nt,h
Northern Isles,Foggy,n,TwistedMind,h
Concealed Hill,Please,n,BlaST9Z,n
Last Refuge,Dise,n,Cement,u
Last Refuge,Deathnote,h,MisterWinner,h
Northern Isles,JohnnyCage,h,KiWiKaKi,o
Terenas Stand LV,Aeb,u,KroLu,o
Northern Isles,Fortitude,h,FoCuS,o
Turtle Rock,HoT,n,CoopeR,o
Last Refuge,Rici,o,Inspired,h
Terenas Stand LV,Sini,n,Michael,u
Terenas Stand LV,Moon,n,Michael,u
Amazonia,Sonik,n,BeLit,n
Terenas Stand LV,Sheik,u,Sonik,n
Concealed Hill,Foggy,n,EnTe,u
Echo Isles,Mythos,u,Sooo Unreal,h
Turtle Rock,Chaemiko,h,MisterWinner,h
Amazonia,Maru,h,Flamy4,n
Northern Isles,Sooo Unreal,h,XiaOgame,o
Last Refuge,JarAsH,o,BATOu,h
Northern Isles,Edo,u,EnTe,u
Turtle Rock,ToM,o,Fish,h
Amazonia,ActionMarc,TBD,Blackrayman,u
Amazonia,FoCuS,o,Chaemiko,h
Amazonia,BlaST9Z,n,CorNoX,n
Last Refuge,Michael,u,Aeb,u
Echo Isles,Fortitude,h,Fast,o
Concealed Hill,Neytpoh,n,Yaremag,h
Northern Isles,Eer0,u,Chaemiko,h
Last Refuge,Lyn,o,Eer0,u
Concealed Hill,Happy,u,XlorD,u
Terenas Stand LV,SaysO,u,HellRaiseR,u
Last Refuge,Fog,n,Scars,o
Concealed Hill,Ice orc,o,FoCuS,o
Terenas Stand LV,Helbisch,u,SexySeaHorse,n
Last Refuge,ThundeR,h,Deathnote,h
Amazonia,Infi,h,Soin,o
Last Refuge,Deathnote,h,BsK,u
Last Refuge,Sonik,n,Deny,h
Northern Isles,Pink,u,大唐不良帅,TBD
Echo Isles,Pink,u,ThundeR,h
Terenas Stand LV,Dise,n,FeeLx,h
Northern Isles,GuvnoR,u,ManicTwig,o
Last Refuge,MisterWinner,h,Soulful,h
Northern Isles,Pokey,n,ReseT,n
Concealed Hill,Dise,n,Chiko,o
Northern Isles,Happy,u,Biko,u
Concealed Hill,ThundeR,h,Starshaped,n
Terenas Stand LV,Bido,h,Alice,n
Echo Isles,Franzyzz,o,Changer,h
Northern Isles,HawK,h,Sonik,n
Northern Isles,Happy,u,HawK,h
Concealed Hill,LawLiet,n,Sonik,n
Concealed Hill,Soin,o,X3-DemoN,h
Turtle Rock,Pink,u,白纸哒哒哒,n
Concealed Hill,TeaTime,n,LICHTKOENIG,u
Concealed Hill,LawLiet,n,Soin,o
Concealed Hill,Ark,n,OC,n
Northern Isles,HawK,h,Please,n
Last Refuge,Mosura,u,Stormrage55,n
Last Refuge,Moon,n,FoCuS,o
Northern Isles,KraV,u,BlaST9Z,n
Turtle Rock,Sonik,n,Michael,u
Last Refuge,CoopeR,o,MisterWinner,h
Concealed Hill,Arma,o,ToM,o
Concealed Hill,Foggy,n,Chiko,o
Northern Isles,Pcg 123,u,无道oc,o
Last Refuge,Eer0,u,Colorful,n
Northern Isles,Lyn,o,Pink,u
Echo Isles,Fortitude,h,Ice orc,o
Amazonia,Sonik,n,Biko,u
Last Refuge,Sooo Unreal,h,Alexchen,n
Northern Isles,Edo,u,ToM,o
Northern Isles,Sok,h,Eer0,u
Concealed Hill,WaN,u,CoopeR,o
Northern Isles,Foggy,n,Colorful,n
Last Refuge,MisterWinner,h,PteN,o
Northern Isles,BlaST9Z,n,CorNoX,n
Concealed Hill,ArminvB,o,Borisanimal,n
Concealed Hill,Sunny,h,Aeb,u
Echo Isles,ToD,h,SaiDe,n
Amazonia,RaZZoRMaN,o,Sonik,n
Northern Isles,Sheik,u,Edo,u
Amazonia,Happy,u,Aeb,u
Amazonia,Glare,n,Ghooozi,n
Last Refuge,Michael,u,Dise,n
Northern Isles,Happy,u,HoT,n
Last Refuge,Deuce,u,Alexchen,n
Amazonia,Deathnote,h,Sonik,n
Talonrift Coast,MisterWinner,h,NickMoris,n
Twisted Meadows,Sonik,n,WaN,u
Last Refuge,Soin,o,XiaoKai,u
Amazonia,HawK,h,NickMoris,n
Turtle Rock,Michael,u,XlorD,u
Terenas Stand LV,Duck,u,Ceron,n
Last Refuge,ToD,h,Edo,u
Echo Isles,FeeLx,h,MisterWinner,h
Autumn Leaves,INSUPERABLE,u,DirtBag,h
Last Refuge,HawK,h,WaN,u
Echo Isles,舜天战斗,n,世界尽头,n
Concealed Hill,Kevin,n,Rigety,o
Twisted Meadows,INSUPERABLE,u,Ark,n
Echo Isles,Eightyfour,u,NoTrixZ,n
Northern Isles,Michael,u,Sheik,u
Amazonia,Sheik,u,MisterWinner,h
Northern Isles,15sui,h,Spirit丶Jylh,TBD
Amazonia,Passion,n,舜天战斗,n
Last Refuge,Deathnote,h,Please,n
Northern Isles,Edo,u,Starshaped,n
Last Refuge,Sonik,n,ToRReNtE,n
Amazonia,Foggy,n,LongWalk,n
Last Refuge,XeLSinG,o,Flopoks,u
Twisted Meadows,Fly100%,o,Moon,n
Northern Isles,HartCrane,o,Rheagal,u
Echo Isles,Foggy,n,FoCuS,o
Terenas Stand LV,Happy,u,HawK,h
Last Refuge,FoCuS,o,Colorful,n
Amazonia,Happy,u,Dise,n
Amazonia,Simba,h,Load (Russian player),o
Northern Isles,Deuce,u,HellRaiseR,u
Northern Isles,LucifroN,o,Scower,o
Northern Isles,Happy,u,Lilyal,u
Last Refuge,INSUPERABLE,u,DirtBag,h
Northern Isles,Lyn,o,Fortitude,h
Northern Isles,FoCuS,o,KraV,u
Last Refuge,Soin,o,ThundeR,h
Concealed Hill,PriesT,h,Sandalus,o
Northern Isles,MisterWinner,h,Gonz,n
Northern Isles,Foggy,n,Wiz,n
Northern Isles,HellRaiseR,u,Ceron,n
Echo Isles,TH000,n,Infi,n
Concealed Hill,Sok,h,Lin Guagua,o
Northern Isles,Sonik,n,ToD,h
Northern Isles,Scars,o,Helbisch,u
Advantage,Neytpoh,n,Dise,n
Last Refuge,Biko,u,Ajk,n
Northern Isles,Michael,u,Sheik,u
Concealed Hill,Believe (Canadian player),n,Rottereye,n
Last Refuge,TGW,u,JohnnyCage,h
Echo Isles,Seal,o,ZeLL,h
Northern Isles,KraV,n,DesTr0,h
Concealed Hill,Mythos,u,Pokey,n
Twisted Meadows,JohnnyCage,h,GodFather,u
Amazonia,Michael,u,Fortitude,h
Concealed Hill,Cement,u,Neytpoh,n
Concealed Hill,LiiLD.C,n,KnOfF,o
Last Refuge,TR-vanilla,n,Fhra,o
Northern Isles,BlaST9Z,o,InsoliTe,u
Northern Isles,Dise,n,Hipposaur,h
Last Refuge,Quberte,u,Rottereye,n
Concealed Hill,Seal,o,ZeLL,h
Amazonia,MisterWinner,h,Inspired,h
Concealed Hill,Hunter,n,Deuce,u
Northern Isles,Neytpoh,n,Sheik,u
Northern Isles,ZeLL,h,SeTh,n
Concealed Hill,Happy,u,Paladyn,n
Last Refuge,ThundeR,h,Blade,h
Concealed Hill,Daille,h,SeTh,n
Last Refuge,LawLiet,n,Sonik,n
Last Refuge,Happy,u,HawK,h
Northern Isles,SyDe,u,LiiLD.C,n
Amazonia,Bizzare,o,Sheik,u
Echo Isles,TGW,u,JadeDark,n
Northern Isles,Franzyzz,o,LongWalk,n
Terenas Stand LV,Daille,h,InsoliTe,u
Amazonia,Happy,u,P1nke,o
Northern Isles,Iblazatar,h,IDentify,o
Northern Isles,Chaemiko,h,Eer0,u
Amazonia,Happy,u,Foggy,n
Amazonia,Happy,u,VortiX,u
Northern Isles,ALe,n,GhostDragon,h
Northern Isles,Sheik,u,AtheistP,h
Twisted Meadows,Sonik,n,Fowzark,n
Northern Isles,GodFather,u,Scars,o
Northern Isles,Chaemiko,h,Fly100%,o
Concealed Hill,ToD,h,Sonik,n
Last Refuge,Ze1Ko,h,SeTh,n
Northern Isles,Helbisch,u,Hunt,h
Echo Isles,Chaemiko,h,Michael,u
Last Refuge,Scars,o,Hankk,o
Last Refuge,CoopeR,o,Foggy,n
Concealed Hill,JohnnyCage,h,Dise,n
Twisted Meadows,LawLiet,n,CoopeR,o
Last Refuge,Rici,o,BobBig,TBD
Last Refuge,SyDe,u,Foggy,n
Echo Isles,ToM,o,Edo,u
Amazonia,Biko,u,Ajk,n
Last Refuge,KraV,u,InsoliTe,u
Echo Isles,WaN,u,JokeRn,n
Amazonia,Grubby,o,HawK,h
Last Refuge,Edo,u,Spiral,o
Terenas Stand LV,CoopeR,o,Eye-Servant,h
Northern Isles,Sheik,u,Neytpoh,n
Amazonia,Lubber,u,Tak3r,o
Northern Isles,Sok,h,FoCuS,o
Echo Isles,Sixb0nes,h,NickMoris,h
Terenas Stand LV,Aeb,u,Believe (Canadian player),n
Terenas Stand LV,Sheik,u,ThorZaIN,h
Twisted Meadows,Philiwarrior,o,NoobKing,n
Tidehunters,Blade,h,Star21,u
Echo Isles,INSUPERABLE,u,Hunter,n
Concealed Hill,ReseT,n,Pokey,n
Terenas Stand LV,15sui,h,Alice,n
Echo Isles,Foggy,n,Sonik,n
Echo Isles,KraV,n,BlaST9Z,h
Echo Isles,Happy,u,CoopeR,o
Amazonia,Fish,h,Mosura,u
Echo Isles,Mosura,u,XeLSinG,o
Echo Isles,PhoeNix,n,DeMiGoD,o
Amazonia,Ark,n,Aeb,u
Amazonia,Happy,u,Foggy,n
Turtle Rock,15sui,h,Sheik,u
Last Refuge,Biko,u,Dise,n
Echo Isles,HoT,n,Mix.6,n
Northern Isles,MisterWinner,h,Gonz,n
Terenas Stand LV,Dise,n,Edo,u
Last Refuge,PhiLbOiS,n,Counting1,h
Last Refuge,Michael,u,Lin Guagua,o
Last Refuge,WaN,u,LongWalk,n
Terenas Stand LV,Deuce,u,CheerOn,o
Northern Isles,MisterWinner,h,ArminvB,o
Turtle Rock,Soin,o,Lin Guagua,o
Autumn Leaves,ToD,h,Sheik,u
Amazonia,INSUPERABLE,u,Ark,n
Echo Isles,Dise,n,Biko,u
Last Refuge,CoopeR,o,Biko,u
Turtle Rock,Bizzare,o,Sheik,u
Terenas Stand LV,Blade,h,Dise,n
Last Refuge,HoT,n,Deadmouz,u
Concealed Hill,ThorZaIN,h,VortiX,u
Echo Isles,Ceron,o,Beeby,o
Concealed Hill,Cement,u,SpiritLink,o
Last Refuge,Happy,u,Deathnote,h
Last Refuge,Sw1tch,o,Happy,u
Last Refuge,Sini,o,Zhou Xixi,n
Amazonia,Michael,u,Please,n
Last Refuge,JohnnyCage,h,KraV,u
Amazonia,Spiral,o,Shocky,u
Amazonia,Biko,u,Hankk,o
Echo Isles,Krawty,n,Celebrate,o
Amazonia,FpXy,n,AtheistP,h
Concealed Hill,ToD,h,Sonik,n
Echo Isles,Sonik,n,Fish,h
Autumn Leaves,PalleS,h,Rav3n,u
Northern Isles,Happy,u,Michael,u
Northern Isles,CrunCher,h,KiWiKaKi,o
Amazonia,15sui,h,Bzddd,n
Terenas Stand LV,Deuce,u,Soulglider,h
Northern Isles,Phil,h,Alexchen,n
Echo Isles,Eer0,u,FoCuS,o
Echo Isles,SyDe,u,ThorZaIN,h
Amazonia,AtheistP,h,MisterWinner,h
Amazonia,DirtBag,h,Hunter,n
Last Refuge,Ice orc,o,Bike,h
Last Refuge,Sonik,n,Ze1Ko,h
Amazonia,MisterWinner,h,Tak3r,o
Turtle Rock,XiaoKai,u,Soin,o
Concealed Hill,Foggy,n,Chaemiko,h
Last Refuge,Eer0,u,Moon,n
Echo Isles,WaN,u,ToD,h
Amazonia,Foggy,n,Stormrage55,n
Northern Isles,Dise,n,Ajk,n
Amazonia,WaN,u,Philiwarrior,o
Northern Isles,WaN,u,Sonik,n
Concealed Hill,LiiLD.C,n,HawK,h
Last Refuge,ToD,h,CoopeR,o
Concealed Hill,Ark,n,淹死的Fish,h
Northern Isles,Happy,u,Sonik,n
Terenas Stand LV,Fish,h,Speedyrogue,h
Twisted Meadows,Sonik,n,Starshaped,n
Last Refuge,Deathnote,h,WaN,u
Echo Isles,Fabrizzio,o,Thypan,u
Concealed Hill,Dise,n,Pandabaernd,o
Northern Isles,LawLiet,n,Fly100%,o
Concealed Hill,Scars,o,Scower,o
Amazonia,Dise,n,Rav3n,u
Amazonia,MisterWinner,h,Steler,o
Amazonia,Biko,u,Mix.6,n
Concealed Hill,Sonik,n,Deathnote,h
Northern Isles,TGW,u,Ze1Ko,h
Northern Isles,KraV,u,ZeLL,h
Northern Isles,ThundeR,h,Tbc bm,u
Terenas Stand LV,CoopeR,o,HoT,n
Terenas Stand LV,Neytpoh,n,Simba,h
Concealed Hill,Sok,h,Lyn,o
Echo Isles,Skutt,u,Ard,o
Twisted Meadows,HoT,n,Starshaped,n
Amazonia,Sonik,n,MisterWinner,h
Last Refuge,Happy,u,HawK,h
Echo Isles,KraV,u,ZeLL,h
Northern Isles,Deuce,u,CrunCher,h
Twisted Meadows,LawLiet,n,Eer0,u
Concealed Hill,P1nke,o,Patco,o
Northern Isles,Michael,u,Fly100%,o
Terenas Stand LV,Sooo Unreal,h,Meecro,n
Echo Isles,Sok,h,Pcg 123,u
Northern Isles,Pokey,n,Alexchen,n
Last Refuge,Fortitude,h,Pink,u
Twisted Meadows,Celebrate,o,Krawty,n
Northern Isles,CoopeR,o,Sonik,n
Northern Isles,LawLiet,n,FoCuS,o
Northern Isles,Michael,u,Zhou Xixi,n
Concealed Hill,SaysO,o,INSUPERABLE,u
Turtle Rock,Sonik,n,Blade,h
Last Refuge,Dise,n,Biko,u
Turtle Rock,Michael,u,Foggy,n
Echo Isles,Ice orc,o,Tbc bm,u
Terenas Stand LV,Hitman,o,Michael,u
Terenas Stand LV,Foggy,n,Powlok,h
Last Refuge,Chaemiko,h,Bzddd,n
Last Refuge,ToD,h,RaGsen,o
Amazonia,JohnnyCage,h,Foggy,n
Terenas Stand LV,Deathnote,h,KroLu,o
Northern Isles,Counting1,h,MisterWinner,h
Last Refuge,Neytpoh,n,Dise,n
Last Refuge,Michael,u,KraV,u
Last Refuge,Neytpoh,n,WaN,u
Northern Isles,FoCuS,o,Fortitude,h
Last Refuge,HawK,h,Deathnote,h
Amazonia,Fish,h,BlaST9Z,n
Northern Isles,Cash,o,Ember,u
Last Refuge,HawK,h,MisterWinner,h
Echo Isles,ToD,h,LiiLD.C,n
Northern Isles,Happy,u,WaN,u
Concealed Hill,Nujabes,h,JarAsH,o
Last Refuge,Ceron,n,Duck,u
Northern Isles,EnTe,u,Edo,u
Last Refuge,Neytpoh,n,FutureHaos,o
Amazonia,WoLv,n,Tebejak,o
Last Refuge,DrK,n,Manusiku,u
Terenas Stand LV,Hitman,o,FoCuS,o
Last Refuge,Deathnote,h,Neytpoh,n
Last Refuge,WFZ,u,Blade,h
Last Refuge,Robinson,n,PhoeNix,n
Amazonia,Blade,h,Sonik,n
Echo Isles,VortiX,u,Blade,h
Amazonia,Dise,n,P1nke,o
Last Refuge,TeRRoR,u,Fog,n
Northern Isles,Ember,u,YoungUndead,u
Echo Isles,Arma,o,Flamy4,n
Northern Isles,Dise,n,KraV,u
Last Refuge,Hitman,n,Soulglider,h
Concealed Hill,Yange,n,Michael,u
Northern Isles,Ceron,n,Fish,h
Last Refuge,Eer0,u,Lyn,o
Advantage,Sheik,u,Dise,n
Northern Isles,MisterWinner,h,ToM,o
Last Refuge,LawLiet,n,Chaemiko,h
Last Refuge,Soin,o,Hitman,o
Last Refuge,Michael,h,Patco,u
Northern Isles,Happy,u,MisterWinner,h
Amazonia,Neytpoh,n,Paladyn,n
Amazonia,SexySeahorse,n,PalleS,h
Turtle Rock,Happy,u,Ajk,n
Turtle Rock,Pcg 123,u,Ark,n
Northern Isles,Happy,u,ToD,h
Concealed Hill,Colorful,n,Mango,u
Last Refuge,Colorful,n,Ark,n
Last Refuge,Drunken,h,ToM,o
Concealed Hill,KraV,u,Foggy,n
Concealed Hill,LongWalk,n,Vranke,u
Concealed Hill,Heisman,h,Sooo Unreal,h
Terenas Stand LV,Dise,n,Blade,h
Echo Isles,YaGami,h,D4rK,h
Concealed Hill,Fortitude,h,Sok,h
Northern Isles,WFZ,u,Moon,n
Echo Isles,Fly100%,o,War3Orcer0,o
Echo Isles,Alice,n,Yumiko,u
Terenas Stand LV,Edo,u,Celebrate,o
Terenas Stand LV,FoCuS,o,Yange,n
Last Refuge,Mosura,u,Ag3nt,h
Concealed Hill,Sok,h,Infi,n
Echo Isles,KraV,u,KiWiKaKi,o
Concealed Hill,TGW,u,Edo,u
Turtle Rock,Moon,n,Colorful,n
Concealed Hill,Sok,h,Eer0,u
Concealed Hill,LawLiet,n,Sok,h
Last Refuge,ThundeR,h,Sonik,n
Northern Isles,Happy,u,HawK,h
Shattered Exile,KraV,u,Ajk,n
Northern Isles,LongWalk,n,RaGsen,o
Last Refuge,LawLiet,n,TH000,h
Last Refuge,CoopeR,o,Edo,u
Concealed Hill,FoCuS,o,Colorful,n
Concealed Hill,Philiwarrior,o,Hankk,o
Last Refuge,Fortitude,h,TH000,n
Last Refuge,Alexchen,n,Pokey,n
Last Snow,Starshaped,n,MisterWinner,h
Northern Isles,Fortitude,h,Pink,u
Echo Isles,Colorful,n,15sui,h
Northern Isles,Shocky,u,RaGsen,o
Last Refuge,Sonik,n,Sheik,u
Amazonia,Dise,n,Sonik,n
Terenas Stand LV,Changer,h,Helbisch,u
Terenas Stand LV,TGW,u,Scorpio (Russian player),u
Echo Isles,SyDe,u,Sonik,n
Concealed Hill,BlaST9Z,n,InsoliTe,u
Last Refuge,Happy,u,Sonik,n
Concealed Hill,HawK,h,Deathnote,h
Last Refuge,Happy,u,HawK,h
Turtle Rock,PriesT,h,Meecro,n
Last Refuge,Ceron,n,Aeb,u
Autumn Leaves,INSUPERABLE,u,Duck,u
Terenas Stand LV,Sonik,n,HawK,h
Concealed Hill,HoT,n,MisterWinner,h
Turtle Rock,LawLiet,n,Soin,o
Autumn Leaves,KiWiKaKi,o,Quberte,u
Northern Isles,Sunny,h,ArminvB,o
Last Refuge,Michael,u,Sonik,n
Terenas Stand LV,CoopeR,o,Neytpoh,n
Northern Isles,HawK,h,Please,n
Amazonia,PalleS,h,SexySeaHorse,n
